header 1: FORM   header filesize(d): 130285396   header 2: IFRS

index name: Pict  index number(d): 110   starts at(h): 008E8480

index name: Pict  index number(d): 111   starts at(h): 008E8BA4

index name: Pict  index number(d): 112   starts at(h): 008E9422

index name: Pict  index number(d): 113   starts at(h): 008EA0B0

index name: Pict  index number(d): 114   starts at(h): 008EA9E8

index name: Pict  index number(d): 115   starts at(h): 008EAF3E

index name: Pict  index number(d): 116   starts at(h): 008F9FE6

index name: Pict  index number(d): 117   starts at(h): 0090450E

index name: Pict  index number(d): 118   starts at(h): 00915BA6

index name: Pict  index number(d): 119   starts at(h): 0092BCF2

index name: Pict  index number(d): 120   starts at(h): 0093E154

index name: Pict  index number(d): 121   starts at(h): 0094AE96

index name: Pict  index number(d): 122   starts at(h): 0095F7EA

index name: Pict  index number(d): 123   starts at(h): 0097D430

index name: Pict  index number(d): 124   starts at(h): 009A0440

index name: Pict  index number(d): 125   starts at(h): 009BE32A

index name: Pict  index number(d): 126   starts at(h): 009E5616

index name: Pict  index number(d): 127   starts at(h): 00A04A24

index name: Pict  index number(d): 128   starts at(h): 00A20CBA

index name: Pict  index number(d): 129   starts at(h): 00A3602E

index name: Pict  index number(d): 130   starts at(h): 00A4BA68

index name: Pict  index number(d): 131   starts at(h): 00A62DBE

index name: Pict  index number(d): 132   starts at(h): 00A85106

index name: Pict  index number(d): 133   starts at(h): 00AAB6DC

index name: Pict  index number(d): 134   starts at(h): 00ADAA08

index name: Pict  index number(d): 135   starts at(h): 00AFA448

index name: Pict  index number(d): 136   starts at(h): 00B1D240

index name: Pict  index number(d): 137   starts at(h): 00B52C28

index name: Pict  index number(d): 138   starts at(h): 00B65F0E

index name: Pict  index number(d): 139   starts at(h): 00B72E60

index name: Pict  index number(d): 140   starts at(h): 00B935CE

index name: Pict  index number(d): 141   starts at(h): 00BAA5AE

index name: Pict  index number(d): 142   starts at(h): 00BBC2DA

index name: Pict  index number(d): 143   starts at(h): 00BD4918

index name: Pict  index number(d): 144   starts at(h): 00BF0C8C

index name: Pict  index number(d): 145   starts at(h): 00C0326C

index name: Pict  index number(d): 146   starts at(h): 00C118B6

index name: Pict  index number(d): 147   starts at(h): 00C2AAE2

index name: Pict  index number(d): 148   starts at(h): 00C38EF2

index name: Pict  index number(d): 149   starts at(h): 00C4E5F4

index name: Pict  index number(d): 150   starts at(h): 00C6258A

index name: Pict  index number(d): 151   starts at(h): 00C7CFAE

index name: Pict  index number(d): 152   starts at(h): 00C93448

